code_ligne,pk,vitesse,altitude,altitude_tunnels,altitude_declivites,lat,lon
752000,-0.1,NULL,87.81,87.81,NULL,48.6377671611561,2.56550702134235
752000,0,NULL,87.79,87.79,87.79,48.6369344024956,2.56597633178718
752000,0.1,NULL,86.76,86.76,87.73,48.6360882717211,2.56643578321873
752000,0.2,160,86.73,86.73,89.58,48.6352881408048,2.56699724638429
752000,0.3,160,86.54,86.54,88.93,48.6344938167502,2.56757605729067
752000,0.4,160,87.79,87.79,86.43,48.6336499092219,2.56804470366622
752000,0.5,160,87.07,87.07,85.05,48.6328180580643,2.56846038374365
752000,0.6,160,86.94,86.94,83.80,48.6319402708474,2.5687550864212
752000,0.7,160,87.17,87.17,83.74,48.6310624827544,2.569049778871
752000,0.8,160,87.14,87.14,83.60,48.6302082022047,2.56934575931435
752000,0.9,160,87.15,87.15,83.57,48.6293327373197,2.56965577361784
752000,1,160,87.72,87.72,83.43,48.6284572714967,2.56996577718541
752000,1.1,160,88.74,88.74,83.70,48.6275818047057,2.57027577002836
752000,1.2,160,89.76,89.76,83.89,48.6267498445061,2.57060003196058
752000,1.3,160,90.47,90.47,84.49,48.6258862351755,2.57097820444661
752000,1.4,160,89.04,89.04,85.09,48.625022624498,2.57135636401724
752000,1.5,160,89.49,89.49,85.44,48.6242189527254,2.57187957037922
752000,1.6,160,89.90,89.90,85.58,48.6234265878996,2.57245275270266
752000,1.7,160,89.10,89.10,85.84,48.6226452553393,2.57312426710942
752000,1.8,160,89.39,89.39,86.10,48.6218639187608,2.57379576078406
752000,1.9,160,89.10,89.10,86.36,48.6210825781609,2.57446723373074
752000,2,160,88.80,88.80,86.62,48.6203012335399,2.57513868595038
752000,2.1,160,89.96,89.96,86.88,48.619519884898,2.57581011744421
752000,2.2,160,91.02,91.02,87.14,48.6187385322353,2.57648152821334
752000,2.3,160,91.91,91.91,87.40,48.6179571755522,2.57715291825878
752000,2.4,160,92.40,92.40,87.66,48.6172440956512,2.57780553033514
752000,2.5,160,92.13,92.13,87.92,48.6164751278551,2.57850868634421
752000,2.6,160,90.15,90.15,88.18,48.6157254296888,2.57920274405549
752000,2.7,160,91.40,91.40,88.44,48.6149707544502,2.57994026159997
752000,2.8,160,91.67,91.67,88.51,48.6142796284999,2.58078396682767
752000,2.9,160,93.85,93.85,88.84,48.6135837720498,2.58164300873095
752000,3,160,93.90,93.90,89.17,48.6128879091077,2.58250202702475
752000,3.1,160,93.74,93.74,89.50,48.6122656492981,2.58341808606497
752000,3.2,160,93.36,93.36,89.83,48.6116305303432,2.58437816230019
752000,3.3,160,92.61,92.61,90.16,48.6110794587383,2.58540402117215
752000,3.4,160,92.06,92.06,90.49,48.6105292788611,2.58647671022875
752000,3.5,160,92.40,92.40,90.82,48.6099790889402,2.58754937597825
752000,3.6,160,91.68,91.68,90.95,48.609428888976,2.58862201842125
752000,3.7,160,92.62,92.62,91.28,48.6089126472178,2.58966344816724
752000,3.8,160,92.54,92.54,91.61,48.6083941857926,2.59077143804605
752000,3.9,160,91.52,91.52,91.41,48.6078757136611,2.59187940524034
752000,4,160,93.87,93.87,91.01,48.6073572308237,2.59298734975051
752000,4.1,160,92.28,92.28,90.61,48.6068387372807,2.59409527157706
752000,4.2,160,90.83,90.83,90.21,48.6063202330327,2.5952031707203
752000,4.3,160,90.82,90.82,89.81,48.6058017180799,2.59631104718074
752000,4.4,160,92.17,92.17,89.41,48.6052831924229,2.59741890095869
752000,4.5,160,91.73,91.73,89.01,48.6047646560619,2.59852673205455
752000,4.6,160,89.74,89.74,88.61,48.6042461089975,2.59963454046872
752000,4.7,160,90.84,90.84,88.21,48.6037275512301,2.60074232620183
752000,4.8,160,91.05,91.05,87.81,48.60320898276,2.60185008925398
752000,4.9,160,89.17,89.17,87.41,48.6026904035876,2.60295782962586
752000,5,160,87.71,87.71,87.01,48.6021718137135,2.6040655473177
752000,5.1,160,89.18,89.18,86.83,48.6016532131378,2.60517324232988
752000,5.2,160,90.64,90.64,86.43,48.6012265254195,2.6061242634151
752000,5.3,160,92.11,92.11,86.43,48.60072103849,2.60724563386069
752000,5.4,160,89.09,89.09,86.43,48.6002155405971,2.60836698192842
752000,5.5,160,88.33,88.33,86.43,48.5997100317413,2.60948830761867
752000,5.6,160,88.70,88.70,86.43,48.5992321873789,2.61055194146236
752000,5.7,160,87.92,87.92,86.43,48.5987655286322,2.6117108957599
752000,5.8,160,86.21,86.21,86.43,48.5982988581921,2.61286982868819
752000,5.9,160,86.43,86.43,86.43,48.5978321760514,2.61402874026676
752000,6,160,86.64,86.64,86.11,48.5973654822103,2.61518763049572
752000,6.1,160,86.63,86.63,85.75,48.5969279890311,2.61630144406614
752000,6.2,160,86.42,86.42,85.39,48.5964940298486,2.61748887390883
752000,6.3,160,86.23,86.23,85.03,48.5960600583898,2.61867628341134
752000,6.4,160,86.93,86.93,84.67,48.5956260746551,2.61986367257387
752000,6.5,160,85.75,85.75,84.31,48.5952381891268,2.62102362776245
752000,6.6,160,85.46,85.46,83.95,48.5948375182726,2.62223731661888
752000,6.7,160,85.38,85.38,83.59,48.5944368345994,2.62345098628114
752000,6.8,160,85.08,85.08,83.23,48.5940554726727,2.62463608518782
752000,6.9,160,85.67,85.67,82.87,48.5936844406189,2.62587097499298
752000,7,160,86.54,86.54,82.51,48.5933133952992,2.62710584671405
752000,7.1,160,84.54,84.54,82.16,48.5929595996115,2.62830203251529
752000,7.2,160,85.41,85.41,81.80,48.5926222839995,2.62955867978125
752000,7.3,160,85.26,85.26,81.95,48.592284954655,2.63081531031739
752000,7.4,160,85.74,85.74,82.17,48.5919577946243,2.63203399521109
752000,7.5,160,84.89,84.89,82.39,48.5916204393381,2.63329059346781
752000,7.6,160,84.81,84.81,82.61,48.591290816564,2.63454443864006
752000,7.7,160,87.39,87.39,82.83,48.5909969168494,2.63582558402067
752000,7.8,160,85.73,85.73,83.05,48.5907030028671,2.63710671454132
752000,7.9,160,85.65,85.65,83.27,48.5904090746172,2.63838783020161
752000,8,160,87.13,87.13,83.49,48.5901327257054,2.6396662308073
752000,8.1,160,87.17,87.17,83.71,48.5898760236489,2.64096538366615
752000,8.2,160,87.02,87.02,83.93,48.5896193069247,2.64226452336392
752000,8.3,160,87.27,87.27,84.15,48.5893625755329,2.6435636499001
752000,8.4,160,87.33,87.33,84.37,48.589123207488,2.64485738114239
752000,8.5,160,87.37,87.37,84.59,48.5888822627822,2.64616334780674
752000,8.6,160,87.60,87.60,84.81,48.5886413032559,2.64746930205339
752000,8.7,160,87.45,87.45,85.03,48.5884433705059,2.64878868239689
752000,8.8,160,87.17,87.17,85.04,48.5882537038738,2.65011370135231
752000,8.9,160,87.78,87.78,85.26,48.5880640219897,2.6514387103904
752000,9,160,87.79,87.79,85.48,48.5878743248536,2.65276370951035
752000,9.1,160,87.88,87.88,85.20,48.5876846124658,2.65408869871175
752000,9.2,160,87.89,87.89,84.84,48.5875292615833,2.65541314863988
752000,9.3,160,87.80,87.80,84.48,48.5873872942952,2.65675163816109
752000,9.4,160,87.34,87.34,84.12,48.5872453114461,2.65809012018361
752000,9.5,160,87.22,87.22,83.76,48.5871033130362,2.65942859470685
752000,9.6,160,86.43,86.43,83.40,48.5869815253399,2.66075881532143
752000,9.7,160,85.90,85.90,83.04,48.5868815844536,2.66210589184269
752000,9.8,160,84.86,84.86,82.87,48.5867816278078,2.66345296305114
752000,9.9,160,84.33,84.33,82.51,48.5866816554024,2.66480002894619
752000,10,160,84.70,84.70,82.15,48.5865816672378,2.66614708952691
752000,10.1,160,87.61,87.61,82.39,48.5864994443037,2.66748219627733
752000,10.2,160,85.10,85.10,82.71,48.5864552349262,2.66883601855547
752000,10.3,160,83.78,83.78,83.03,48.5864110096323,2.67018983847146
752000,10.4,160,84.68,84.68,83.35,48.5863731680248,2.67154567173006
752000,10.5,160,85.85,85.85,83.45,48.5863547284406,2.67290084495965
752000,10.6,160,86.59,86.59,83.48,48.5863362729084,2.6742560172028
752000,10.7,160,87.34,87.34,83.56,48.5863178014283,2.67561118845871
752000,10.8,160,87.45,87.45,83.64,48.5862993140003,2.67696635872647
752000,10.9,160,87.41,87.41,83.72,48.5862836807141,2.67830559720723
752000,11,160,86.86,86.86,83.80,48.5863182209566,2.67966005359445
752000,11.1,160,86.59,86.59,83.88,48.5863527452662,2.68101451176695
752000,11.2,160,86.96,86.96,83.96,48.5863872536445,2.68236897178427
752000,11.3,160,87.34,87.34,84.04,48.5864217460915,2.6837234336454
752000,11.4,160,88.57,88.57,84.12,48.5864562226071,2.68507789734952
752000,11.5,160,89.73,89.73,84.20,48.5864906831912,2.68643236289582
752000,11.6,160,88.57,88.57,84.28,48.5865251278439,2.68778683028348
752000,11.7,160,87.06,87.06,84.36,48.586559556565,2.68914129951159
752000,11.8,160,86.64,86.64,84.44,48.5865939693546,2.69049577057943
752000,11.9,160,86.55,86.55,84.52,48.5866283662126,2.69185024348599
752000,12,160,86.15,86.15,84.60,48.5866614772587,2.69317552035213
752000,12.1,160,86.66,86.66,84.64,48.5866952355324,2.69453003155562
752000,12.2,160,87.81,87.81,84.72,48.5867289778737,2.69588454456302
752000,12.3,160,86.87,86.87,84.80,48.5867627042824,2.69723905937341
752000,12.4,160,87.49,87.49,84.45,48.5867964147584,2.69859357598598
752000,12.5,160,89.15,89.15,83.81,48.5868301093019,2.69994809439991
752000,12.6,160,86.18,86.18,83.17,48.5868637879126,2.7013026146143
752000,12.7,160,85.36,85.36,83.04,48.5868974505906,2.70265713662832
752000,12.8,160,84.07,84.07,82.40,48.5868866904473,2.70398852495989
752000,12.9,160,83.08,83.08,81.76,48.5868705301871,2.70534377805641
752000,13,160,83.07,83.07,81.12,48.5868426489303,2.70669811548987
752000,13.1,160,82.78,82.78,80.48,48.5867533094783,2.7080468796002
752000,13.2,160,82.25,82.25,80.72,48.5866639542275,2.70939563895538
752000,13.3,160,83.77,83.77,81.28,48.5865625663243,2.71073460128929
752000,13.4,160,82.87,82.87,81.84,48.5864163583188,2.71207202764348
752000,13.5,160,84.93,84.93,82.40,48.5862701347767,2.71340944628149
752000,13.6,160,85.65,85.65,82.77,48.5861238956982,2.71474685720261
752000,13.7,160,86.96,86.96,83.33,48.5859407416093,2.71606875656527
752000,13.8,160,88.04,88.04,83.89,48.5857554745046,2.71739512364596
752000,13.9,160,88.45,88.45,83.76,48.5855166858906,2.71869164661987
752000,14,160,86.77,86.77,83.61,48.5852509657213,2.71998655489415
752000,14.1,160,85.83,85.83,83.46,48.5849852309787,2.72128144959159
752000,14.2,160,84.07,84.07,83.31,48.5847194816631,2.72257633071188
752000,14.3,160,84.86,84.86,83.23,48.5844261047709,2.72387231130707
752000,14.4,160,85.79,85.79,83.16,48.5840856261997,2.72512680766038
752000,14.5,160,85.58,85.58,83.09,48.583745133942,2.72638128716114
752000,14.6,160,84.21,84.21,83.02,48.583373668026,2.72763548992493
752000,14.7,160,84.86,84.86,82.93,48.5829885948063,2.72886031390482
752000,14.8,160,85.40,85.40,82.82,48.5826035085333,2.73008511927639
752000,14.9,160,85.51,85.51,82.74,48.5821810306782,2.7312945443722
752000,15,160,86.66,86.66,82.63,48.5817444908205,2.73247947834071
752000,15.1,160,87.21,87.21,82.86,48.58124052149,2.73361064820474
752000,15.2,160,87.54,87.54,83.31,48.5807302358013,2.73472662855047
752000,15.3,160,88.68,88.68,83.76,48.5802082047225,2.73584101029609
752000,15.4,160,89.59,89.59,84.21,48.5796804488857,2.73693835747846
752000,15.5,160,89.30,89.30,84.65,48.5791526825432,2.73803568181467
752000,15.6,160,90.48,90.48,84.44,48.5786249056955,2.73913298330513
752000,15.7,160,89.61,89.61,84.08,48.5780694917659,2.74022407911582
752000,15.8,160,88.14,88.14,83.72,48.5775058848328,2.74128011243124
752000,15.9,160,87.87,87.87,83.36,48.5769422681597,2.74233612226888
