corridor,pk_cum,X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
a406,0.000,4.80361587,46.27733327,,POIN_REP0000002330642392,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,0,0,0,D,PR0 valide,PR0,71PR0DC,NAT-A406-D-1,71,ROUTNOMM0000000251065914,APRR
a406,0.860,4.81436132,46.27522241,,POIN_REP0000002330642385,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,1,895,1,D,PR valide,PR,71PR1DC,NAT-A406-D-1,71,ROUTNOMM0000000251065914,APRR
a406,1.866,4.82621371,46.27139131,,POIN_REP0000002330642377,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,2,850,1,D,PR valide,PR,01PR2DC,NAT-A406-D-2,01,ROUTNOMM0000000251065914,APRR
a406,2.865,4.83918435,46.27174545,,POIN_REP0000002330642389,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,3,1850,2,D,PR valide,PR,01PR3DC,NAT-A406-D-2,01,ROUTNOMM0000000251065914,APRR
a406,3.851,4.85066024,46.27567489,,POIN_REP0000002330642378,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,4,2850,3,D,PR valide,PR,01PR4DC,NAT-A406-D-2,01,ROUTNOMM0000000251065914,APRR
a406,4.849,4.86175336,46.28033184,,POIN_REP0000002330642387,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,5,3850,4,D,PR valide,PR,01PR5DC,NAT-A406-D-2,01,ROUTNOMM0000000251065914,APRR
a406,5.845,4.8717405,46.28602375,,POIN_REP0000002330642383,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,6,4850,5,D,PR valide,PR,01PR6DC,NAT-A406-D-2,01,ROUTNOMM0000000251065914,APRR
a406,6.843,4.88390797,46.28912519,,POIN_REP0000002330642380,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,7,5850,6,D,PR valide,PR,01PR7DC,NAT-A406-D-2,01,ROUTNOMM0000000251065914,APRR
a406,7.837,4.89463114,46.29411752,,POIN_REP0000002330642375,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,8,6850,7,D,PR valide,PR,01PR8DC,NAT-A406-D-2,01,ROUTNOMM0000000251065914,APRR
a406,8.760,4.90631852,46.29599239,,POIN_REP0000002330642390,2023/03/09 12:34:59.704+00,,,,DGITM 2022,,A406,999,7650,999,D,PR valide,PRF,FRD,NAT-A406-D-2,01,ROUTNOMM0000000251065914,APRR
a40,0.000,4.85498429,46.33819215,,POIN_REP0000002330655449,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,204,101152,101,D,PR valide,PR,01PR204DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,1.002,4.86757609,46.33585362,,POIN_REP0000002330655511,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,203,100152,100,D,PR valide,PR,01PR203DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,2.007,4.87835141,46.33074688,,POIN_REP0000002330655534,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,202,99152,99,D,PR valide,PR,01PR202DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
