corridor,route,pk,lat,lon,speed_kmh,source
a406,A406,0.00000,46.278108,4.799217,111,trace
a406,A406,0.01315,46.277316,4.803614,110,trace
a406,A406,0.05033,46.277214,4.804246,110,trace
a406,A406,0.10030,46.277111,4.804879,110,trace
a406,A406,0.15027,46.277009,4.805512,110,trace
a406,A406,0.20023,46.276909,4.806145,110,trace
a406,A406,0.25020,46.276808,4.806779,110,trace
a406,A406,0.30017,46.276706,4.807411,110,trace
a406,A406,0.35014,46.276604,4.808044,110,trace
a406,A406,0.40010,46.276504,4.808678,110,trace
a406,A406,0.45007,46.276402,4.809311,110,trace
a406,A406,0.50007,46.276294,4.809941,110,trace
a406,A406,0.55009,46.276178,4.810569,110,trace
a406,A406,0.60011,46.276051,4.811192,110,trace
a406,A406,0.65011,46.275914,4.811811,110,trace
a406,A406,0.70006,46.275768,4.812426,110,trace
a406,A406,0.74992,46.275611,4.813035,110,trace
a406,A406,0.79964,46.275441,4.813636,110,trace
a406,A406,0.84930,46.275260,4.814231,111,trace
a406,A406,0.89909,46.275067,4.814817,111,trace
a406,A406,0.94901,46.274863,4.815396,110,trace
a406,A406,0.99888,46.274648,4.815967,110,trace
a406,A406,1.04864,46.274422,4.816528,110,trace
a406,A406,1.09835,46.274192,4.817086,110,trace
a406,A406,1.14804,46.273961,4.817643,110,trace
a406,A406,1.19773,46.273729,4.818200,110,trace
a406,A406,1.24740,46.273496,4.818755,110,trace
a406,A406,1.29712,46.273267,4.819315,110,trace
a406,A406,1.34698,46.273051,4.819885,110,trace
a406,A406,1.39689,46.272843,4.820460,110,trace
a406,A406,1.44683,46.272643,4.821042,110,trace
a406,A406,1.49678,46.272452,4.821630,110,trace
a406,A406,1.54672,46.272274,4.822227,111,trace
a406,A406,1.59660,46.272107,4.822830,111,trace
a406,A406,1.64640,46.271950,4.823438,111,trace
a406,A406,1.69608,46.271803,4.824052,111,trace
a406,A406,1.74560,46.271667,4.824672,111,trace
a406,A406,1.79493,46.271544,4.825297,111,trace
a406,A406,1.84400,46.271433,4.825926,111,trace
a406,A406,1.89238,46.271334,4.826560,110,trace
a406,A406,1.94090,46.271243,4.827196,110,trace
a406,A406,1.98973,46.271164,4.827836,110,trace
a406,A406,2.03886,46.271097,4.828478,110,trace
a406,A406,2.08818,46.271041,4.829123,111,trace
a406,A406,2.13780,46.271003,4.829770,110,trace
a406,A406,2.18754,46.270975,4.830419,110,trace
a406,A406,2.23738,46.270956,4.831068,110,trace
a406,A406,2.28729,46.270947,4.831718,110,trace
a406,A406,2.33727,46.270952,4.832367,110,trace
a406,A406,2.38728,46.270969,4.833017,110,trace
a406,A406,2.43727,46.270998,4.833665,110,trace
a406,A406,2.48721,46.271038,4.834312,110,trace
a406,A406,2.53707,46.271089,4.834957,110,trace
a406,A406,2.58682,46.271152,4.835601,110,trace
a406,A406,2.63641,46.271227,4.836241,111,trace
a406,A406,2.68581,46.271314,4.836879,110,trace
a406,A406,2.73498,46.271413,4.837512,110,trace
a406,A406,2.78390,46.271523,4.838142,110,trace
a406,A406,2.83246,46.271645,4.838768,110,trace
a406,A406,2.88071,46.271779,4.839388,110,trace
a406,A406,2.93035,46.271927,4.840002,110,trace
a406,A406,2.98014,46.272086,4.840609,110,trace
a406,A406,3.03002,46.272255,4.841211,110,trace
a406,A406,3.07997,46.272432,4.841808,110,trace
a406,A406,3.12997,46.272619,4.842399,110,trace
a406,A406,3.18000,46.272815,4.842983,110,trace
a406,A406,3.23002,46.273019,4.843563,111,trace
a406,A406,3.28003,46.273230,4.844136,111,trace
a406,A406,3.33002,46.273444,4.844708,111,trace
a406,A406,3.38002,46.273658,4.845279,110,trace
a406,A406,3.43001,46.273872,4.845850,110,trace
a406,A406,3.48000,46.274087,4.846421,110,trace
a406,A406,3.53000,46.274301,4.846992,110,trace
a406,A406,3.58000,46.274514,4.847564,110,trace
a406,A406,3.63000,46.274726,4.848137,110,trace
a406,A406,3.68000,46.274940,4.848708,110,trace
a406,A406,3.73000,46.275152,4.849281,110,trace
a406,A406,3.78001,46.275364,4.849854,110,trace
a406,A406,3.82995,46.275577,4.850426,110,trace
a406,A406,3.87987,46.275791,4.850998,110,trace
a406,A406,3.92978,46.276005,4.851569,110,trace
a406,A406,3.97969,46.276220,4.852139,110,trace
a406,A406,4.02961,46.276437,4.852709,110,trace
a406,A406,4.07953,46.276652,4.853279,110,trace
a406,A406,4.12943,46.276865,4.853851,110,trace
a406,A406,4.17933,46.277078,4.854424,110,trace
a406,A406,4.22923,46.277290,4.854996,110,trace
a406,A406,4.27915,46.277505,4.855566,110,trace
a406,A406,4.32908,46.277724,4.856134,110,trace
a406,A406,4.37903,46.277946,4.856699,110,trace
a406,A406,4.42899,46.278172,4.857260,110,trace
a406,A406,4.47896,46.278404,4.857817,111,trace
a406,A406,4.52892,46.278643,4.858368,111,trace
a406,A406,4.57887,46.278887,4.858913,111,trace
a406,A406,4.62878,46.279138,4.859452,111,trace
a406,A406,4.67865,46.279395,4.859985,111,trace
a406,A406,4.72847,46.279657,4.860512,111,trace
a406,A406,4.77822,46.279925,4.861033,111,trace
a406,A406,4.82786,46.280201,4.861547,111,trace
a406,A406,4.87756,46.280483,4.862052,111,trace
a406,A406,4.92746,46.280772,4.862550,111,trace
a406,A406,4.97745,46.281064,4.863043,111,trace
a406,A406,5.02743,46.281361,4.863532,110,trace
a406,A406,5.07738,46.281662,4.864014,110,trace
a406,A406,5.12730,46.281968,4.864489,113,trace
a406,A406,5.17720,46.282275,4.864963,116,trace
a406,A406,5.22710,46.282582,4.865438,118,trace
a406,A406,5.27701,46.282889,4.865912,119,trace
a406,A406,5.32690,46.283198,4.866384,121,trace
a406,A406,5.37682,46.283504,4.866860,122,trace
a406,A406,5.42676,46.283806,4.867341,123,trace
a406,A406,5.47673,46.284104,4.867828,124,trace
a406,A406,5.52674,46.284392,4.868326,125,trace
a406,A406,5.57673,46.284671,4.868836,125,trace
a406,A406,5.62668,46.284941,4.869354,125,trace
a406,A406,5.67655,46.285201,4.869884,125,trace
a406,A406,5.72630,46.285450,4.870425,125,trace
a406,A406,5.77594,46.285692,4.870972,125,trace
a406,A406,5.82550,46.285927,4.871527,125,trace
a406,A406,5.87513,46.286148,4.872093,125,trace
a406,A406,5.92473,46.286360,4.872665,125,trace
a406,A406,5.97439,46.286564,4.873244,125,trace
a406,A406,6.02417,46.286760,4.873829,125,trace
